CPF,Nome,Idade,Sexo,Email,Nota ENEM,Abandono,Qual Semestre,CRA após o 2º Semestre,CRA após o 4º Semestre,CRA após o 6º Semestre
60737333181,Sherry Smith,25,Feminino,carlosmejia@example.com,757,False,,8.92,7.33,8.73
43863897394,Daniel Bowman,24,Feminino,jocelyn57@example.org,640,False,,5.72,9.26,5.88
601863078,Nicholas Cooper,21,Masculino,qfreeman@example.org,649,True,8.0,9.63,9.76,5.62
99693284812,Alex Benson,22,Masculino,morganlori@example.net,701,False,,7.6,6.33,7.66
93743440421,James Ford,26,Masculino,bradley91@example.org,660,False,,5.7,8.17,5.67
50955217466,Brandon Fischer MD,19,Masculino,santiagoheidi@example.net,743,False,,9.64,8.94,8.44
87463336988,Christopher Zimmerman,25,Feminino,christinabarber@example.com,784,False,,5.45,8.2,7.3
54312807685,Nichole Joyce,18,Feminino,julia84@example.org,782,True,5.0,7.1,6.7,5.82
70121038051,Alicia Peterson,20,Feminino,kellyclements@example.net,774,False,,9.77,6.76,8.6
47516650907,Jessica Johnson,27,Feminino,debrachurch@example.com,763,True,2.0,7.68,9.2,8.7
31993653300,Tracy Donaldson,28,Masculino,christopher08@example.net,665,False,,7.84,7.9,9.79
65675361098,Tamara Jones,20,Feminino,katherine67@example.org,646,False,,8.49,9.9,6.11
55162712476,Jesus Chen,19,Feminino,dporter@example.org,748,False,,5.15,8.56,6.19
11202881478,Mark Walker,26,Masculino,owhite@example.org,671,False,,6.11,7.15,6.8
19307958645,Katherine Drake,21,Masculino,hmann@example.org,729,True,5.0,8.93,7.92,8.83
3899775264,Misty Smith,23,Feminino,johningram@example.com,777,False,,6.46,7.21,9.2
99224264438,Gavin Tran,24,Feminino,xross@example.com,780,False,,8.57,5.55,5.37
97646324374,Jill Henson,20,Masculino,david85@example.org,684,True,1.0,8.86,6.26,5.45
72159298901,Jeremy Clarke,21,Feminino,wwhitaker@example.net,786,False,,7.5,8.1,8.29
94638481017,Megan Farrell,18,Feminino,marcus94@example.net,649,True,6.0,7.62,6.31,7.36
84021991445,Ronnie Jones,28,Masculino,helenrocha@example.com,649,False,,6.74,5.58,5.54
41359058469,Kenneth Jimenez,23,Feminino,brookefreeman@example.com,749,False,,9.86,7.16,9.73
84997144018,Cynthia Roach,28,Feminino,gregory22@example.org,764,True,2.0,5.19,9.97,7.56
73777253839,John Turner,23,Feminino,perezcarrie@example.org,730,False,,7.66,7.55,8.93
17446648822,Mr. Jeffrey Hart,21,Masculino,brittany80@example.com,795,False,,8.37,6.73,6.2
93067637089,Tanya Miranda,25,Feminino,haydenchris@example.com,796,True,3.0,9.46,7.11,9.6
34812194970,James Shepard,26,Masculino,millerjohnny@example.org,654,False,,6.74,9.36,8.19
75778937951,Paul Jackson,27,Feminino,parkerbrian@example.com,794,False,,5.77,5.18,6.46
83297521175,Loretta Smith,23,Feminino,michaelgarcia@example.com,656,True,2.0,8.25,9.37,9.24
72220300573,Kaitlyn Davis,27,Feminino,donna18@example.org,661,False,,5.4,6.51,5.0
34172183655,Karen Noble,22,Feminino,lopezchelsea@example.net,800,False,,8.31,8.67,9.84
87813488440,Jennifer Schmidt,22,Masculino,gsmith@example.org,736,True,8.0,9.59,7.82,5.68
78172061565,Mitchell Williams,26,Masculino,urojas@example.org,755,False,,5.64,5.42,9.14
16809782687,William Chandler,18,Masculino,andrew56@example.net,719,False,,9.55,5.69,7.37
44941863275,Gregory Walker,21,Masculino,dawsonstacy@example.com,709,False,,8.3,8.4,7.46
10007290115,Amy Foster,18,Feminino,jenniferparker@example.org,789,False,,6.42,7.94,8.17
95299187918,Keith Potter,22,Masculino,jennifer26@example.net,717,False,,6.92,5.85,8.56
24061659490,Jason Trevino,20,Masculino,michael19@example.com,685,True,8.0,6.73,7.59,9.77
96698011582,Justin Miller,18,Feminino,sawyersteven@example.com,685,True,2.0,7.66,6.9,7.87
40051486244,Thomas Johnson,27,Masculino,jasonbrown@example.net,742,False,,5.93,6.5,9.48
14426782581,Michele Fischer,26,Feminino,luisporter@example.org,689,False,,6.54,9.5,7.49
12759461149,Colleen Jones,19,Masculino,darlene94@example.net,696,True,1.0,9.52,6.87,5.1
38670141220,Patricia Burns,20,Feminino,stacylong@example.org,741,True,6.0,5.47,7.58,6.18
85449293643,Brandon Compton,18,Feminino,fnovak@example.org,780,True,6.0,6.8,9.31,6.32
98712506634,Latoya Parrish,24,Feminino,rayjoseph@example.net,641,False,,5.78,7.76,6.6
68567742360,Christine Kim,20,Feminino,thomasmark@example.net,700,True,8.0,9.14,9.6,9.91
85458973533,Richard Olsen,22,Masculino,bellchristopher@example.net,704,False,,8.37,8.69,7.84
73803054879,Phillip Hill,20,Masculino,petersheather@example.net,729,False,,9.5,8.45,5.59
59501457529,Colleen Stephens,24,Feminino,linda28@example.net,709,True,3.0,8.69,7.1,5.73
46164111683,Elizabeth Cunningham,20,Masculino,karen35@example.net,729,True,7.0,8.18,6.77,6.38
67206265430,John Rodgers,18,Feminino,christopher29@example.org,740,False,,5.5,7.79,6.1
43598302249,Alicia Steele,18,Feminino,barbara33@example.org,781,True,1.0,7.64,8.72,9.12
91477863918,Kevin Martinez,24,Masculino,sylviamiller@example.net,795,True,5.0,7.68,7.45,6.86
66870141928,Meagan Irwin,28,Feminino,mathewsjeffrey@example.com,652,False,,8.86,8.34,8.92
34206353193,Cynthia Saunders,25,Feminino,april38@example.org,783,False,,9.61,5.47,6.21
75038722233,Benjamin Robertson,25,Masculino,longgeorge@example.net,758,False,,9.19,5.25,8.91
75157241847,Susan Yang,24,Masculino,maria55@example.com,742,False,,5.47,5.45,9.18
28617066631,Erika Schultz,19,Feminino,bfleming@example.net,800,False,,5.49,9.42,5.89
52634726965,Gabrielle Todd,25,Feminino,smithkaren@example.com,694,True,1.0,7.6,6.13,7.35
42104883380,Alexa Spencer,27,Feminino,smithabigail@example.org,694,True,3.0,7.24,5.11,6.1
33442689753,Leslie Price,22,Masculino,rsnow@example.com,683,False,,8.78,5.56,5.4
57563605346,Robert Zamora,26,Masculino,njones@example.net,786,False,,8.28,6.89,8.3
67364566780,Jenna Adams,20,Feminino,jill03@example.com,768,False,,7.87,9.24,8.94
14161093631,Shelby Rivas,22,Masculino,melanie45@example.org,752,False,,9.9,8.35,8.71
52847134274,Kyle Moore,25,Feminino,rodriguezbradley@example.org,758,False,,9.34,6.51,8.65
49635462264,Mia Wilkerson,28,Feminino,zcarney@example.org,706,False,,7.2,5.48,7.48
35609055542,Cynthia Huang,22,Feminino,heatherknapp@example.org,706,True,1.0,9.74,6.8,9.91
50530439732,Thomas Williams,21,Feminino,qbarker@example.net,640,False,,8.78,9.73,7.8
2573611603,Jennifer Smith,23,Feminino,sharon84@example.com,773,False,,6.66,5.36,5.59
77403681204,Angelica Fox,20,Feminino,foconnell@example.org,727,False,,7.71,6.4,9.69
15731946223,Tracy Hamilton,20,Masculino,natalie66@example.org,717,True,6.0,6.89,9.92,6.1
35942206244,Joshua Sutton,18,Feminino,dennis10@example.com,687,True,5.0,6.7,9.9,8.1
4019097326,Sarah Barnett,26,Feminino,rileycharles@example.net,773,False,,7.8,6.49,8.14
55102158513,Cathy Serrano,21,Feminino,pgarcia@example.net,737,False,,7.69,9.4,5.43
64477407611,Kelli Thomas,26,Feminino,briansmith@example.com,788,True,6.0,6.1,8.14,8.7
27769863755,Monica Jenkins,19,Feminino,williamsjames@example.org,726,True,5.0,7.44,8.2,6.49
22813215971,James Miller,20,Feminino,johnathan34@example.com,677,False,,5.95,8.17,9.6
21852940746,Veronica Brown,18,Feminino,flemingsuzanne@example.net,778,False,,7.85,6.28,8.69
9060267329,Sandra Johnston,21,Feminino,evanschad@example.com,759,False,,6.57,6.97,5.95
82257697046,Christopher Drake,23,Masculino,amycampbell@example.com,671,False,,6.64,7.88,5.62
56673673067,Danielle Hernandez,19,Feminino,christophermiller@example.net,686,True,6.0,7.29,8.32,5.69
97652046170,Jennifer Marshall,27,Masculino,larry06@example.net,654,False,,8.19,9.2,9.71
68816178496,Matthew Wilkinson,28,Masculino,brownraymond@example.com,795,False,,9.17,9.2,7.62
28759555476,Robert Galloway,22,Masculino,bellmichael@example.net,793,False,,7.99,5.74,9.76
17944915627,Christopher Cortez,19,Feminino,fwilson@example.com,705,False,,9.94,6.7,8.36
79736370276,Heather Barton,25,Masculino,alvarezamanda@example.com,777,False,,6.53,9.71,7.29
96700092076,Julie White,23,Masculino,obarton@example.org,690,True,5.0,7.74,6.21,5.52
11824419303,Eric Rice,23,Feminino,michael18@example.net,708,False,,8.6,7.67,9.86
71228020968,Todd Cole,20,Feminino,pagemeagan@example.net,641,True,7.0,6.58,7.3,9.61
30963742782,Dakota Patel,28,Feminino,edwardskristi@example.net,694,False,,6.61,9.7,5.23
84555616697,Craig Bass,26,Feminino,hbell@example.com,771,True,7.0,8.19,5.75,5.32
72466564348,Michael Stark,28,Masculino,laurenduffy@example.com,733,False,,6.16,8.79,7.14
5317827890,Chelsea Solomon,27,Feminino,lthomas@example.net,655,False,,5.12,5.11,8.1
38978303901,Christina Sanchez,18,Feminino,pbrown@example.org,688,True,2.0,9.23,5.69,8.3
7530896651,Scott Gonzalez,19,Masculino,elizabethmcdaniel@example.net,791,False,,8.8,6.6,8.4
53485175501,Joshua Hall,27,Feminino,jamesreyes@example.net,794,False,,6.7,7.88,8.72
15956076832,Cory Johnson,19,Masculino,jelliott@example.com,726,False,,9.48,7.81,8.29
74056767856,Bruce Bowers,26,Feminino,fuentescaitlin@example.net,708,False,,8.79,9.38,5.87
98896868655,Natalie Long,18,Feminino,john31@example.com,759,False,,5.51,8.76,8.37
91207737021,John Clements,28,Masculino,barbarafreeman@example.com,695,False,,8.61,6.84,8.96
9315754120,Michael Simmons,27,Masculino,susansanchez@example.org,690,False,,8.84,8.63,8.13
67557257998,Matthew Long,21,Feminino,johnking@example.net,690,True,5.0,8.15,7.34,7.41
97860931968,Jacqueline Christensen,27,Masculino,anthonyhanson@example.org,752,True,7.0,9.4,8.87,6.39
16576440534,Mr. Michael Camacho PhD,28,Feminino,parkeradam@example.com,729,False,,5.78,5.59,6.71
96280796609,Sandra Figueroa,22,Feminino,chill@example.org,643,False,,6.99,7.38,6.93
56060525774,Nicholas Bell,23,Feminino,mary91@example.org,642,False,,8.3,8.55,5.42
61697227701,Ms. Kimberly Carrillo,25,Masculino,nealkristie@example.net,752,False,,9.39,7.94,8.84
99705323112,Brandy Brown,27,Feminino,carolhoffman@example.org,782,True,3.0,9.16,7.72,6.12
85796984523,Jodi Harrison,22,Masculino,nsmith@example.org,795,False,,7.18,6.2,7.66
71809593396,Veronica Cooper,21,Feminino,fpearson@example.net,641,False,,7.35,5.2,7.59
82007792814,Miguel Miller,22,Feminino,aclay@example.org,772,False,,8.47,6.58,7.57
21819798637,Kaitlyn Smith,23,Feminino,pfuller@example.net,726,True,1.0,9.57,8.69,9.43
29928597055,Robert Hunter,23,Feminino,fmartin@example.org,774,False,,5.58,5.61,5.85
39959906372,Kimberly White,21,Feminino,meganhodges@example.net,728,True,6.0,8.47,5.0,5.27
33661116860,Carol Lindsey,27,Feminino,bradley84@example.net,672,True,7.0,7.63,8.24,8.2
42336867765,Melanie Guerrero,22,Masculino,nelsonruth@example.net,708,False,,6.7,7.66,6.3
2265077396,Angela Bautista,26,Feminino,julie82@example.org,650,False,,7.8,6.57,9.21
7042203595,Sydney Mercado,19,Feminino,jasminerobertson@example.net,736,True,1.0,6.67,8.5,6.5
43117179552,Lauren Oneill,23,Feminino,moorejulia@example.net,789,True,1.0,6.75,9.14,6.49
81946499498,Jeanne Becker,19,Feminino,jeffery29@example.com,665,False,,8.78,5.84,9.67
29628566876,Mercedes Smith,28,Masculino,lhall@example.org,645,True,8.0,5.54,6.74,6.18
47815631797,Angie Eaton,21,Masculino,randywarren@example.com,699,False,,7.77,5.9,5.29
80778604990,Melissa Macias,18,Feminino,russellkelly@example.net,663,False,,8.19,7.72,5.27
10614521611,Travis Dillon,19,Feminino,amberbaker@example.org,733,False,,7.46,6.95,9.86
4962135765,Regina Randall,23,Feminino,carrbrian@example.com,695,False,,9.84,7.75,6.78
92450912553,Amber Smith,23,Masculino,kevin56@example.com,669,False,,9.4,6.53,8.78
4481155539,James Oliver,23,Masculino,catherineforbes@example.org,718,False,,5.44,6.73,8.99
5811628550,Francisco Martin,26,Feminino,fstokes@example.org,798,True,7.0,9.46,6.23,5.34
9254758576,Laura Buchanan,26,Feminino,jrichmond@example.net,779,False,,7.64,8.34,7.7
95095018298,Dennis Peters,21,Masculino,erin29@example.net,670,True,5.0,8.3,9.4,8.46
49375685708,Thomas Hall,28,Masculino,geraldbaker@example.com,767,False,,7.35,6.14,8.26
33792421983,Nicole Gates,19,Masculino,juareztaylor@example.com,661,False,,9.89,6.39,9.12
19582689412,Stacie Jordan,28,Masculino,ffowler@example.com,739,True,4.0,8.56,8.56,9.56
87337350755,Mark Oconnor,26,Masculino,tranlaura@example.org,695,False,,5.11,6.39,9.21
99582722651,Michael Summers,26,Feminino,mercermichael@example.com,746,False,,6.33,5.26,5.73
834133024,Kimberly Zuniga,25,Feminino,kwood@example.org,689,True,8.0,7.84,8.79,5.48
38258870155,Felicia Galloway,28,Feminino,treyes@example.com,799,False,,7.47,6.27,6.46
31745962787,Antonio Stewart,20,Masculino,alexandra26@example.com,791,False,,5.59,5.3,5.91
26618217505,Jesse Bennett,27,Feminino,ggould@example.net,688,False,,9.28,8.27,5.27
7160909339,Thomas Campbell,25,Feminino,elizabethramirez@example.net,743,True,4.0,8.79,7.57,5.14
87503150432,Mr. Joseph Willis,28,Feminino,aalvarez@example.com,706,True,6.0,5.59,9.63,5.6
58858855989,Catherine Boyer,18,Feminino,deborahpham@example.org,667,True,5.0,7.6,9.61,9.34
70786559091,Angela Carter,18,Feminino,markgonzalez@example.net,670,False,,9.27,7.68,6.34
93218010057,Angelica Gomez,24,Feminino,mitchellcynthia@example.net,747,False,,6.92,6.56,8.61
17889843244,Yvonne Campbell,23,Masculino,kelsey21@example.net,724,False,,9.66,6.15,5.37
36148426168,Justin Smith,24,Masculino,debraodonnell@example.net,723,False,,9.29,6.49,5.7
90759106274,Hannah Brown,28,Masculino,drew04@example.org,647,True,2.0,9.7,6.48,7.73
62114689313,Janet Anderson,28,Masculino,djones@example.org,749,False,,5.16,5.25,8.0
67088601631,Amy Stewart,25,Masculino,jeffreywilliams@example.com,742,False,,9.34,9.29,9.93
58490406302,Kayla Lambert,23,Feminino,wrighttanner@example.org,739,False,,6.7,7.78,7.47
69776434469,Alan Farrell,19,Masculino,jonesteresa@example.com,661,False,,8.24,5.23,8.2
70356143199,Anthony Taylor,22,Feminino,gloveralan@example.com,741,False,,9.2,6.67,6.96
1774386472,Patricia Smith,22,Feminino,anthonycampbell@example.org,652,True,4.0,7.4,9.47,6.27
96567898000,Aaron Sanchez,19,Feminino,nicholascaldwell@example.org,760,False,,5.44,7.88,8.32
44759849744,Joyce Martinez,19,Feminino,mirandahaney@example.com,726,True,4.0,5.64,5.79,7.15
73791195869,Nicholas Sanchez,18,Masculino,hernandezcalvin@example.net,739,False,,5.38,9.53,9.95
89666053268,Michael Goodwin,22,Feminino,travisjones@example.net,673,False,,5.9,9.45,6.18
24727920208,Laura Whitehead,27,Feminino,zaustin@example.com,796,True,7.0,9.21,8.72,9.87
44177362904,Ashley Ramirez,27,Feminino,lromero@example.net,691,True,5.0,6.65,9.79,5.17
93965283438,Austin Cole MD,23,Masculino,anthony23@example.org,707,True,1.0,8.7,5.21,5.99
81235165750,Mr. Anthony Herrera,18,Masculino,smithjames@example.com,765,False,,8.37,9.5,6.99
22990942464,Dale Harmon,22,Feminino,fosborn@example.org,764,True,6.0,5.28,9.34,8.6
88960855955,Glenn Foster,28,Masculino,smithryan@example.com,686,False,,6.4,9.81,9.8
26069200121,Frank Reyes,27,Masculino,wbuchanan@example.com,729,False,,7.81,9.77,5.9
32234760565,Rachel Olson,28,Feminino,ronald47@example.org,718,True,3.0,6.91,7.44,6.77
65796753540,Lindsay Maldonado,27,Feminino,nicole44@example.org,666,False,,9.2,6.56,8.88
21589810214,Gabriel Shea,24,Masculino,garciajoshua@example.com,743,True,2.0,5.41,7.96,6.4
11534324247,Jonathan Davidson,22,Masculino,imoody@example.net,730,False,,7.72,8.89,5.14
